date,USD,EUR,KZT,UAH,BYR
2014-01,32.6587,45.0559,0.21176,3.96343,0.00342
2014-02,35.18,47.6408,0.22623,4.1856,0.00364
2014-03,36.1847,49.5839,0.19635,3.38175,0.00369
2014-04,35.6053,48.968,0.19554,3.16492,0.0036
2014-05,35.7227,49.3188,0.19622,3.11989,0.00358
2014-06,34.7352,47.2677,0.1893,2.94366,0.00345
2014-07,33.8434,46.1827,0.18442,2.88029,0.00332
2014-08,35.4438,47.4699,0.19364,2.89692,0.00343
2014-09,36.9316,48.6315,0.20291,2.73567,0.00354
2014-10,39.3836,49.9817,0.21647,3.0412,0.00371
2014-11,41.9627,52.7219,0.23201,3.22728,0.00391
2014-12,49.322,61.4108,0.27254,3.2831,0.00453
2015-01,56.2376,68.3681,0.30814,3.55525,0.00388
2015-02,68.9291,78.1105,0.37371,4.32993,0.00441
2015-03,61.2718,68.6857,0.33066,2.07701,0.0041
2015-04,57.65,62.0487,0.31045,2.45842,0.00392
2015-05,51.1388,57.1578,0.27524,2.40653,0.00358
2015-06,52.9716,58.0145,0.28485,2.5105,0.00356
2015-07,55.8413,62.3803,0.29988,2.65911,0.00366
2015-08,60.3458,66.0002,0.32195,2.85323,0.00396
2015-09,66.7152,74.8478,0.27856,3.06737,0.00384
2015-10,65.7364,73.776,0.24259,3.08549,0.00372
2015-11,64.3742,70.7537,0.22986,2.79281,0.00369
2015-12,66.737,70.6478,0.217,2.80998,0.0037
2016-01,72.9299,79.6395,0.21382,3.0352,0.0039
2016-02,75.1723,81.9077,0.20696,2.95954,0.00361
2016-03,75.8994,83.1023,0.21701,2.80072,0.00353
2016-04,67.8552,76.9207,0.19741,2.58496,0.00337
2016-05,64.3334,73.3015,0.19662,2.55291,0.00335
2016-06,65.9962,73.4406,0.19654,2.62358,0.00333
2016-07,64.1755,71.2926,0.18945,2.5846,
2016-08,67.0512,74.3799,0.19027,2.70368,
2016-09,65.2535,72.6859,0.1917,2.50013,
2016-10,63.396,70.9338,0.18895,2.44348,
2016-11,63.2174,69.2863,0.18866,2.47911,
2016-12,65.2382,69.3417,0.19092,2.54837,
2017-01,60.6569,63.8111,0.18164,2.23826,
2017-02,60.0851,64.285,0.18574,2.21634,
2017-03,57.9627,61.3883,0.18538,2.13333,
2017-04,55.9606,59.8107,0.17843,2.0707,
2017-05,56.9838,62.044,0.18123,2.14669,
2017-06,56.6876,63.4107,0.18153,2.15481,
2017-07,59.3862,67.8072,0.18372,2.28058,
2017-08,60.0633,70.4603,0.18218,2.32308,
2017-09,58.5454,69.6222,0.17329,2.2767,
2017-10,58.0169,68.4483,0.17008,2.1815,
2017-11,58.1179,67.6434,0.17364,2.16373,
2017-12,58.5814,69.5185,0.17685,2.1565,
2018-01,57.6002,68.8668,0.17318,2.04955,
2018-02,56.184,69.9322,0.17416,2.0181,
2018-03,56.3742,68.9062,0.17596,2.10351,
2018-04,57.2649,70.5618,0.17983,2.17613,
2018-05,61.9997,75.2056,0.18955,2.36369,
2018-06,62.0188,72.5806,0.18828,2.37483,
2018-07,62.7565,72.9921,0.18384,2.38527,
2018-08,62.3497,73.0738,0.17958,2.31999,
2018-09,68.0447,79.4966,0.18713,2.40866,
2018-10,65.5906,76.2294,0.18063,2.32056,
2018-11,65.5962,74.4189,0.17775,2.3348,
2018-12,66.5335,75.7484,0.17817,2.35508,
2019-01,69.4706,79.4605,0.18057,2.50706,
2019-02,65.3577,75.2006,0.17187,2.35499,
2019-03,65.8895,74.9691,0.17574,2.45673,
2019-04,64.7347,72.723,0.1705,2.38008,
2019-05,64.6314,72.3096,0.16956,2.44839,
2019-06,65.3834,72.8436,0.17093,2.4333,
2019-07,63.0756,71.8179,0.16576,2.41161,
2019-08,63.4172,70.7355,0.16497,2.53276,
2019-09,66.4897,73.3847,0.17169,2.64585,
2019-10,64.6407,70.7169,0.1665,2.67497,
2019-11,63.7748,71.1918,0.16408,2.56843,
2019-12,64.0817,70.5475,0.16587,2.67341,
2020-01,61.9057,69.3777,0.16167,2.61205,
2020-02,63.1385,69.5976,0.16654,2.52296,
2020-03,66.9909,73.7235,0.17554,2.7257,
2020-04,77.7325,85.7389,0.17428,2.75213,
2020-05,72.7263,79.1189,0.1713,2.69798,
2020-06,70.752,78.5489,0.17164,2.62872,
2020-07,70.4413,78.9929,0.1741,2.64194,
2020-08,73.4261,87.2889,0.17409,2.65196,
2020-09,73.8039,87.8266,0.17562,2.67537,
2020-10,78.7847,92.4302,0.182,2.78337,
2020-11,79.3323,92.6284,0.18315,2.78971,
2020-12,76.1999,91.2037,0.17907,2.67321,
2021-01,73.8757,90.7932,0.17525,2.60711,
2021-02,76.2527,92.2963,0.17978,2.7094,
2021-03,74.4373,90.3743,0.17826,2.66296,
2021-04,75.6373,88.7452,0.1778,2.71942,
2021-05,74.8451,90.585,0.17418,2.69783,
2021-06,73.2965,89.3778,0.17091,2.66893,
2021-07,72.7234,86.5118,0.16978,2.67074,
2021-08,73.1388,86.9913,0.17189,2.72718,
2021-09,73.2781,86.666,0.17175,2.72558,
2021-10,72.6642,84.305,0.17065,2.72887,
2021-11,70.52,82.2898,0.16494,2.68152,
2021-12,74.8926,84.8234,0.17044,2.74319,
2022-01,74.2926,84.0695,0.169,2.72584,
2022-02,77.4702,86.5032,0.17838,2.71136,
2022-03,93.5589,104.4772,0.18839,3.10053,
2022-04,83.4097,92.493,0.17735,2.82427,
2022-05,71.0237,74.5589,0.15836,2.34698,
2022-06,61.6069,62.7397,0.14415,2.0778,
2022-07,52.5123,54.6405,0.11291,1.77865,
